2025-07-22 09:23:30,377 - backtest.simulator - ERROR - [simulator.py:166] - Failed to initialize TradingAgentsGraph: Permission denied
2025-07-22 09:23:30,377 - backtest.simulator - ERROR - [simulator.py:167] - Config used: {'project_dir': '/Users/y-sato/TradingAgents2/TradingMultiAgents', 'results_dir': './backtest/results', 'data_dir': '/Users/y-sato/TradingAgents2/data', 'data_cache_dir': '/Users/y-sato/TradingAgents2/TradingMultiAgents/tradingagents/dataflows/data_cache', 'llm_provider': 'openai', 'deep_think_llm': 'gpt-4o-mini', 'quick_think_llm': 'gpt-4o-mini', 'backend_url': 'https://api.openai.com/v1', 'max_debate_rounds': 1, 'max_risk_discuss_rounds': 1, 'max_recur_limit': 100, 'online_tools': False}
2025-07-22 09:24:47,802 - backtest.simulator - ERROR - [simulator.py:166] - Failed to initialize TradingAgentsGraph: Permission denied
2025-07-22 09:24:47,803 - backtest.simulator - ERROR - [simulator.py:167] - Config used: {'project_dir': '/Users/y-sato/TradingAgents2/TradingMultiAgents', 'results_dir': './backtest/results', 'data_dir': '/Users/y-sato/TradingAgents2/data', 'data_cache_dir': '/Users/y-sato/TradingAgents2/TradingMultiAgents/tradingagents/dataflows/data_cache', 'llm_provider': 'openai', 'deep_think_llm': 'gpt-4o-mini', 'quick_think_llm': 'gpt-4o-mini', 'backend_url': 'https://api.openai.com/v1', 'max_debate_rounds': 1, 'max_risk_discuss_rounds': 1, 'max_recur_limit': 100, 'online_tools': False}
2025-07-22 19:39:10,705 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:48,937 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:51,069 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:53,133 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:55,106 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:57,362 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:59,480 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:01,736 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:03,831 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:06,127 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:08,248 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:10,457 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:12,434 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:14,642 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:16,978 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:19,233 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:21,659 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:23,753 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:26,168 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:28,169 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:30,255 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:32,366 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:34,452 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:36,533 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:38,720 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:41,056 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:43,153 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:45,252 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:47,870 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:50,036 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:52,615 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:54,444 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:56,507 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:40:58,694 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:00,778 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:02,808 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:04,856 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:07,269 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:09,368 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:11,712 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:14,608 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:16,706 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:18,565 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:20,575 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:22,667 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:24,765 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:27,007 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:28,971 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:31,389 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:33,678 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:35,902 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:37,930 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:40,820 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:41:42,920 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
